,year,month,date,client_id_num,client_id,cusip_num,cusip,broker_name_num,broker_name,si_firm_id,si_primary_firm_name,fds_broker_id,sale,redemption,unique_zip_count,hoa_sale,hoa_redemption,hoa_unique_zip_count,hhoa,home_office_activity,sale_std_dev_from_mean,redemption_std_dev_from_mean,unique_zip_count_std_dev_from_mean,day_of_week,fund_id,hoa_last_year
536,2016.0,1.0,2016-01-11,24,PIMCO,4929,693391732,2,"Securities America, Inc.",4059,"SECURITIES AMERICA, INC.",LMS38900,26774303.77,0.0,136,26774303.77,0.0,136.0,0.0,1,0.0,0.0,0.0,0,FSUSA001ZF,0
2084,2016.0,3.0,2016-03-01,24,PIMCO,31890,01882B205,1679,MERRILL LYNCH PIERCE FENNER & SMITH,3315,"MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED",LMS28710,54378076.29,0.0,485,54378076.29,0.0,485.0,0.0,1,2.6739133897601133,0.0,2.7445766955641298,1,FSUSA06OJJ,0
2358,2016.0,3.0,2016-03-02,24,PIMCO,4929,693391732,2,"Securities America, Inc.",4059,"SECURITIES AMERICA, INC.",LMS38900,0.0,-20447444.99,124,0.0,-20447444.99,124.0,0.0,1,-0.5778689275154996,-1.1254621457451182,0.4574746066555265,2,FSUSA001ZF,0
2666,2016.0,3.0,2016-03-18,24,PIMCO,23720,72201F490,13,"Wells Fargo Advisors, LLC",83333,"WELLS FARGO ADVISORS, LLC",LMS46910,24692579.03,0.0,93,24771879.03,0.0,94.0,1.0,1,5.688813022507772,0.4469397464461464,0.7077845649697629,4,FSUSA07XD8,0
5297,2016.0,6.0,2016-06-30,24,PIMCO,4882,72201M487,15318,"BMO HARRIS FINANCIAL ADVISORS, INC.",41557,"BMO HARRIS FINANCIAL ADVISORS, INC",LMS20370,0.0,-46979521.38,117,0.0,-46979521.38,117.0,0.0,1,-0.7071067811865475,-0.7071067811865475,-0.7071067811865475,3,FSUSA08W9O,0
6200,2016.0,8.0,2016-08-09,24,PIMCO,23720,72201F490,1998,Wells Fargo Advisors (PCG),83333,"WELLS FARGO ADVISORS, LLC",LMS46910,1049638.74,-551436.17,74,1049638.74,0.0,13.0,0.0,1,-0.5330449507392945,-0.10573391906998522,-0.5895253712447729,1,FSUSA07XD8,1
6535,2016.0,8.0,2016-08-24,24,PIMCO,4947,693391559,1998,Wells Fargo Advisors (PCG),83333,"WELLS FARGO ADVISORS, LLC",LMS46910,2677588.16,-29286.63,34,2667402.07,0.0,23.0,0.0,1,0.0,0.0,0.0,2,FSUSA003CX,0
6835,2016.0,9.0,2016-09-07,24,PIMCO,23720,72201F490,1998,Wells Fargo Advisors (PCG),83333,"WELLS FARGO ADVISORS, LLC",LMS46910,2737643.41,-694779.48,323,2687047.43,0.0,24.0,0.0,1,0.1803147654356016,-0.2332748099995502,4.816637700530802,2,FSUSA07XD8,1
7307,2016.0,9.0,2016-09-28,24,PIMCO,5004,72201M719,40,Merrill Lynch,3315,"MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED",LMS28710,25504036.97,0.0,138,25504036.97,0.0,138.0,1.0,1,7.765022574684969,0.634012563146153,1.2443851138280275,2,FSUSA07XD8,1
7841,2016.0,10.0,2016-10-21,24,PIMCO,4866,693390700,154884,JP Morgan Securities - Chase Wealth Management,57,J.P. MORGAN SECURITIES LLC,LMS24110,12234159.67,-1463081.22,1571,12234159.67,-1463081.22,1571.0,1.0,1,5.858473084298753,-1.1044735605423217,3.427076098460518,4,FSUSA001ZG,0
10186,2017.0,1.0,2017-01-10,24,PIMCO,28503,72201U646,154902,LPL Financial Corporation (Firm),2400,LPL FINANCIAL LLC,LMS26830,23719291.93,-26094.75,633,23719291.93,-26094.75,633.0,0.0,1,0.7071067811865475,0.7071067811865477,0.7071067811865476,1,FS00009OHZ,0
10203,2017.0,1.0,2017-01-10,24,PIMCO,4948,72201M685,154902,LPL Financial Corporation (Firm),2400,LPL FINANCIAL LLC,LMS26830,25831938.41,-739737.76,707,25831938.41,-739737.76,707.0,1.0,1,5.9233176141878285,-0.081126062346244,5.5660856897147575,1,FSUSA004US,0
12574,2017.0,4.0,2017-04-04,24,PIMCO,5004,72201M719,17951,Morgan Stanley Wealth Management,51410,MORGAN STANLEY,LMS29880,10897085.6627,-1036398.2811,223,10897085.6627,-1036398.2811,223.0,1.0,1,1.7605833924070815,0.5687901232951599,2.3290493417459763,1,FSUSA07XD8,1
12635,2017.0,4.0,2017-04-06,24,PIMCO,4935,72201M669,40,Merrill Lynch,3315,"MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED",LMS28710,213.99,-1033083.02,2,0.0,-1033083.02,1.0,0.0,1,-1.0265896867173565,-2.662930628572816,-1.1247031897159647,3,FSUSA001ZF,0
12638,2017.0,4.0,2017-04-06,24,PIMCO,4971,72201M784,40,Merrill Lynch,3315,"MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED",LMS28710,6517611.4102,-764729.16,126,6501184.2802,0.0,125.0,0.0,1,3.3271216440197167,-4.2037275147234405,0.5958477844621723,3,FSUSA00203,0
12640,2017.0,4.0,2017-04-06,24,PIMCO,4971,72201M784,1679,MERRILL LYNCH PIERCE FENNER & SMITH,3315,"MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED",LMS28710,1271172.6702,-2000.0,33,1271172.6702,0.0,32.0,0.0,1,-0.370642034149947,0.2644371466131879,-0.7776613297918393,3,FSUSA00203,0
12648,2017.0,4.0,2017-04-06,24,PIMCO,4971,72201M784,569,MERRILL LYNCH PIERCE FENNER & SMITH INC,3315,"MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED",LMS28710,1834793.7602,-486.32,31,1834793.7602,0.0,31.0,0.0,1,0.035756460931248624,0.2670698831416457,-0.7784343469958905,3,FSUSA00203,0
12681,2017.0,4.0,2017-04-07,24,PIMCO,4971,72201M784,1679,MERRILL LYNCH PIERCE FENNER & SMITH,3315,"MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED",LMS28710,6133093.1998,0.0,50,6133093.1998,0.0,50.0,0.0,1,2.5968792981929503,0.2639577770582773,-0.4733514199007139,4,FSUSA00203,0
